,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Disease_1,Disease_2,Disease_3,Disease_4,Disease_5,Disease_6,Disease_7,Disease_8,Disease_9,Disease_10
Gene_1,10.993428306022466,9.723471397657631,11.295377076201385,13.046059712816051,9.531693250553328,9.531726086101639,13.158425631014783,11.534869458305817,9.061051228130095,11.08512008717193,10.814933575535244,9.917971934603978,11.197996015156242,13.65647775976217,11.22887178201524,9.260683928960434,14.659246128783197,11.253197385958929,8.713424015633212,12.403714705515142
Gene_2,9.073164614375075,9.068540492859487,10.48392454313207,6.173439510684404,6.5501643349739345,8.875424941518055,7.974337759331153,10.628494665190548,8.183951848957578,7.175392597329417,10.495100992382692,10.41995042962214,9.668127134913927,6.207488532612354,7.873152926977256,9.41696678208195,7.400644913133688,11.58681260431599,7.969144589966108,9.469917445721629
Gene_3,12.931297537843108,9.548447399026928,10.135056409375848,7.150503627573086,8.911234550949635,10.221845179419732,7.698012845155395,10.751396036691343,8.79872262016239,9.416612500413446,14.976139000261366,10.652544825382495,11.99606311414562,7.715294977696468,10.17667204532465,12.199565474721808,8.443511526949708,10.99620886517706,7.594100661985275,9.833478974691953
Gene_4,8.796586775541206,13.704556369017876,9.973005550524132,7.884578142088199,11.645089824206378,7.5583127000579555,10.417727190009511,6.080659752240448,7.3436279022031385,10.393722471738247,10.120009960103516,15.150189796585506,10.977370616242542,7.843279047125959,10.168268255258788,7.563097602053221,10.61338231895556,6.267730785050435,8.462184259181063,12.879398882753087
Gene_5,11.476933159990821,10.34273656237994,9.76870343522352,9.397792608821423,7.042956019265145,8.560311583210582,9.078722458080424,12.11424445243783,10.687236579136922,6.473919689274532,12.100462361831914,10.626004773223478,10.009481622219427,10.022177375729136,6.714662258916746,9.180510141956638,10.029534794412225,12.823930516012318,11.644778513141704,7.407667298623068
Gene_6,10.648167938789591,9.229835439167367,8.646155999388082,11.223352577681736,12.061999044991902,11.862560238232398,8.321564953554724,9.38157524829757,10.662526862807129,11.951090254244718,9.376271256543147,10.36670559756277,8.475141153725628,10.627513414677777,11.457547217136906,12.796101848704927,8.59899002632987,8.19960646431216,11.640564677999413,11.01148212344589
Gene_7,9.04165152430942,9.628682046672365,7.787330051987944,7.607586751838658,11.625051644788396,12.712480057141645,9.855979756839332,12.007065795784047,10.723272050095268,8.709760490789751,9.68147288282763,10.36718097234542,9.172907133682989,9.88927153830551,10.760375318887855,13.160006201078597,10.079644461795114,12.940815481745009,11.438940821028886,8.85721424805313
Gene_8,10.722791211016828,13.076073132931938,9.928347921780096,13.129287311628012,4.760509791820511,11.643805008750448,10.174094136476343,9.401985299068265,10.183521553071005,6.024862170798214,10.781889022405972,12.45962227774789,11.416209504186606,14.088491493227542,6.178277989615649,11.833408872274934,10.017258667781913,8.823670232439037,11.042439136811664,5.48506894626998
Gene_9,9.560656224324976,10.714225143023492,12.955788089483033,8.963459563452705,8.383012794213625,8.996485912830927,11.830804235404148,10.657502219319369,8.940479592465923,11.026534866226712,11.909319293291526,9.906582561930051,13.729448208695535,11.03031427066649,9.482102553477434,9.672159625322706,11.362320588442252,9.775733030751665,10.210529701383509,13.032682107001659
Gene_10,10.194155098696081,11.937289981065778,8.595893812245295,9.344675706804464,9.215783693735684,7.072970103735763,10.592240554129152,10.522110544359778,10.010226913284923,9.530825733249706,10.25530510821791,11.298228473449427,6.637724381696277,8.863910863141927,9.602126851236644,9.172093344572497,11.76537424636212,11.327195949066532,10.110107251983791,9.44766001599375
